date,game_pk,game_number,sport,market,match,away_team_name,home_team_name,total_line,over_price,under_price,final_total_runs,result,paired_bucket,paired_winning_side,paired_over_bucket_plus_or_minus,paired_under_bucket_plus_or_minus,source_pull_time,polymarket_event_slug,polymarket_market_slug,polymarket_market_id,over_token_id,under_token_id,polymarket_event_url
2026-03-26,823974,1,MLB,Game Total O/U,Arizona Diamondbacks @ Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles Dodgers,8.5,52.5,47.5,10,Over,Over 50-55 / Under 45-50,Over,Over 50-55 +,Under 45-50 -,03:00 ET history nearest over=2026-03-26T07:00:48.000Z under=2026-03-26T07:00:37.000Z,mlb-ari-lad-2026-03-26,mlb-ari-lad-2026-03-26-total-8pt5,1711519,85889762135365485163292183590561678891445336235009227985396210711392093531931,5852140773476443840069847122632439157286209640657560430596078454412296909949,https://polymarket.us/event/mlb-ari-lad-2026-03-26
2026-03-26,824541,1,MLB,Game Total O/U,Boston Red Sox @ Cincinnati Reds,Boston Red Sox,Cincinnati Reds,8.5,46,54,3,Under,Over 45-50 / Under 50-55,Under,Over 45-50 -,Under 50-55 +,03:00 ET history nearest over=2026-03-26T07:00:47.000Z under=2026-03-26T07:00:44.000Z,mlb-bos-cin-2026-03-26,mlb-bos-cin-2026-03-26-total-8pt5,1711499,62145760548319386126595992129296033596398875265081853813905290939109235789884,57810407885745210827424335390315313823540628848399798260485847431720657577527,https://polymarket.us/event/mlb-bos-cin-2026-03-26
2026-03-26,823812,1,MLB,Game Total O/U,Chicago White Sox @ Milwaukee Brewers,Chicago White Sox,Milwaukee Brewers,8.5,45,55,16,Over,Over 45-50 / Under 50-55,Over,Over 45-50 +,Under 50-55 -,03:00 ET history nearest over=2026-03-26T07:00:36.000Z under=2026-03-26T07:00:52.000Z,mlb-cws-mil-2026-03-26,mlb-cws-mil-2026-03-26-total-8pt5,1711487,89328136716467266849511340146632177893872091754614736163702520513186818442798,12764090552994462144882865474604003594698115698164214821701215699557745585209,https://polymarket.us/event/mlb-cws-mil-2026-03-26
2026-03-26,823325,1,MLB,Game Total O/U,Detroit Tigers @ San Diego Padres,Detroit Tigers,San Diego Padres,7.5,42,58,10,Over,Over 40-45 / Under 55-60,Over,Over 40-45 +,Under 55-60 -,03:00 ET history nearest over=2026-03-26T07:00:39.000Z under=2026-03-26T07:00:44.000Z,mlb-det-sd-2026-03-26,mlb-det-sd-2026-03-26-total-7pt5,1711507,36795322691246910884766694238172932619969601640896232844594258681605395966635,45763611134002793448089307578270386243471481847045471314504910675836214812910,https://polymarket.us/event/mlb-det-sd-2026-03-26
2026-03-26,824218,1,MLB,Game Total O/U,Los Angeles Angels @ Houston Astros,Los Angeles Angels,Houston Astros,8.5,45.5,54.5,3,Under,Over 45-50 / Under 50-55,Under,Over 45-50 -,Under 50-55 +,03:00 ET history nearest over=2026-03-26T07:00:47.000Z under=2026-03-26T07:00:47.000Z,mlb-laa-hou-2026-03-26,mlb-laa-hou-2026-03-26-total-8pt5,1711503,35144676990991645773287806334718063914639223055896222739869394915936756385315,79345726589208316662647504276221860781374643145302157695069303310844936606524,https://polymarket.us/event/mlb-laa-hou-2026-03-26
2026-03-26,824865,1,MLB,Game Total O/U,Minnesota Twins @ Baltimore Orioles,Minnesota Twins,Baltimore Orioles,8.5,48.5,51.5,3,Under,Over 45-50 / Under 50-55,Under,Over 45-50 -,Under 50-55 +,03:00 ET history nearest over=2026-03-26T07:00:45.000Z under=2026-03-26T07:00:37.000Z,mlb-min-bal-2026-03-26,mlb-min-bal-2026-03-26-total-8pt5,1711495,19366063883794483057771944057913676163644435309251794798890703032960885464109,100197351122996182286695724131422213899528867294864448343342452426246548851987,https://polymarket.us/event/mlb-min-bal-2026-03-26
2026-03-26,823649,1,MLB,Game Total O/U,Pittsburgh Pirates @ New York Mets,Pittsburgh Pirates,New York Mets,7.5,41.5,58.5,18,Over,Over 40-45 / Under 55-60,Over,Over 40-45 +,Under 55-60 -,03:00 ET history nearest over=2026-03-26T07:00:43.000Z under=2026-03-26T07:00:43.000Z,mlb-pit-nym-2026-03-26,mlb-pit-nym-2026-03-26-total-7pt5,1711899,67692848617412243535547100929016804141034733777297656042948354684543890268859,30871353598424661137160252060489583222310393691730891408031024529220507856356,https://polymarket.us/event/mlb-pit-nym-2026-03-26
2026-03-26,823081,1,MLB,Game Total O/U,Tampa Bay Rays @ St. Louis Cardinals,Tampa Bay Rays,St. Louis Cardinals,7.5,51,49,16,Over,Over 50-55 / Under 45-50,Over,Over 50-55 +,Under 45-50 -,03:00 ET history nearest over=2026-03-26T07:00:38.000Z under=2026-03-26T07:00:48.000Z,mlb-tb-stl-2026-03-26,mlb-tb-stl-2026-03-26-total-7pt5,1711515,66804321293510973416046404150662936609712174664980254097282536082195477649473,66639950954448483180333913723141693918666971795905144660716249161098777548803,https://polymarket.us/event/mlb-tb-stl-2026-03-26
2026-03-26,823486,1,MLB,Game Total O/U,Texas Rangers @ Philadelphia Phillies,Texas Rangers,Philadelphia Phillies,7.5,52,48,8,Over,Over 50-55 / Under 45-50,Over,Over 50-55 +,Under 45-50 -,03:00 ET history nearest over=2026-03-26T07:00:47.000Z under=2026-03-26T07:00:45.000Z,mlb-tex-phi-2026-03-26,mlb-tex-phi-2026-03-26-total-7pt5,1711813,35543980798349319704915066067940855145820464843080848563484991632924787660967,90296965334584075020122735356595897245101163910766362982961026347499432024004,https://polymarket.us/event/mlb-tex-phi-2026-03-26
2026-03-26,823486,1,MLB,Game Total O/U,Texas Rangers @ Philadelphia Phillies,Texas Rangers,Philadelphia Phillies,8.5,44,56,8,Under,Over 40-45 / Under 55-60,Under,Over 40-45 -,Under 55-60 +,03:00 ET history nearest over=2026-03-26T07:00:37.000Z under=2026-03-26T07:00:45.000Z,mlb-tex-phi-2026-03-26,mlb-tex-phi-2026-03-26-total-8pt5,1711511,98078291557393365284400890935452388527802423680730317192314407226108643242636,91078197832355474695698809945937871189868000650522933338186147437379132124315,https://polymarket.us/event/mlb-tex-phi-2026-03-26
2026-03-26,824704,1,MLB,Game Total O/U,Washington Nationals @ Chicago Cubs,Washington Nationals,Chicago Cubs,8.5,42.5,57.5,14,Over,Over 40-45 / Under 55-60,Over,Over 40-45 +,Under 55-60 -,03:00 ET history nearest over=2026-03-26T07:00:50.000Z under=2026-03-26T07:00:41.000Z,mlb-wsh-chc-2026-03-26,mlb-wsh-chc-2026-03-26-total-8pt5,1711491,35169607820830798941059378882439546132318235800912173695767192961113459319083,80434555506185812791175598543756818541030917357411134356202542916759036145087,https://polymarket.us/event/mlb-wsh-chc-2026-03-26
2026-03-26,824704,1,MLB,Game Total O/U,Washington Nationals @ Chicago Cubs,Washington Nationals,Chicago Cubs,9.5,36,64,14,Over,Over 35-40 / Under 60-65,Over,Over 35-40 +,Under 60-65 -,03:00 ET history nearest over=2026-03-26T07:00:50.000Z under=2026-03-26T07:00:49.000Z,mlb-wsh-chc-2026-03-26,mlb-wsh-chc-2026-03-26-total-9pt5,1711874,9048381711112978039892536156817251259710176590856066416075610584170481175318,62565453938196020087431614405176782967975601831852913081802856994557463864261,https://polymarket.us/event/mlb-wsh-chc-2026-03-26
2026-03-27,822839,1,MLB,Game Total O/U,Athletics @ Toronto Blue Jays,Athletics,Toronto Blue Jays,8.5,51,49,5,Under,Over 50-55 / Under 45-50,Under,Over 50-55 -,Under 45-50 +,03:00 ET history nearest over=2026-03-27T07:00:36.000Z under=2026-03-27T07:00:32.000Z,mlb-oak-tor-2026-03-27,mlb-oak-tor-2026-03-27-total-8pt5,1720492,11106314525481163935083270002909826831037599492186409973364832715460081327124,10085770207375610870918928911722775273311810554518514736749937845923119178379,https://polymarket.us/event/mlb-oak-tor-2026-03-27
2026-03-27,822839,1,MLB,Game Total O/U,Athletics @ Toronto Blue Jays,Athletics,Toronto Blue Jays,9.5,40,60,5,Under,Over 40-45 / Under 55-60,Under,Over 40-45 -,Under 55-60 +,03:00 ET history nearest over=2026-03-27T07:00:25.000Z under=2026-03-27T07:00:38.000Z,mlb-oak-tor-2026-03-27,mlb-oak-tor-2026-03-27-total-9pt5,1711529,68935355233640938024944891046726051020330342599603668538179455258884812776842,18152655998295722331590762546104550073574441327598889110072038548077365003011,https://polymarket.us/event/mlb-oak-tor-2026-03-27
