date,game_pk,game_number,match,total_line,reason,polymarket_event_slug,polymarket_market_slug
2026-03-26,823163,1,Cleveland Guardians @ Seattle Mariners,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-cle-sea-2026-03-26,
2026-03-27,823971,1,Arizona Diamondbacks @ Los Angeles Dodgers,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-ari-lad-2026-03-27,
2026-03-27,823162,1,Cleveland Guardians @ Seattle Mariners,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-cle-sea-2026-03-27,
2026-03-27,823324,1,Detroit Tigers @ San Diego Padres,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-det-sd-2026-03-27,
2026-03-27,824216,1,Los Angeles Angels @ Houston Astros,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-laa-hou-2026-03-27,
2026-03-28,823973,1,Arizona Diamondbacks @ Los Angeles Dodgers,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-ari-lad-2026-03-28,
2026-03-28,823161,1,Cleveland Guardians @ Seattle Mariners,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-cle-sea-2026-03-28,
2026-03-28,823323,1,Detroit Tigers @ San Diego Padres,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-det-sd-2026-03-28,
2026-03-30,824214,1,Boston Red Sox @ Houston Astros,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-bos-hou-2026-03-30,
2026-03-30,823972,1,Cleveland Guardians @ Los Angeles Dodgers,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-cle-lad-2026-03-30,
2026-03-30,825108,1,Detroit Tigers @ Arizona Diamondbacks,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-det-ari-2026-03-30,
2026-03-30,823159,1,New York Yankees @ Seattle Mariners,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-nyy-sea-2026-03-30,
2026-03-30,823320,1,San Francisco Giants @ San Diego Padres,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-sf-sd-2026-03-30,
2026-03-31,824212,1,Boston Red Sox @ Houston Astros,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-bos-hou-2026-03-31,
2026-03-31,823969,1,Cleveland Guardians @ Los Angeles Dodgers,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-cle-lad-2026-03-31,
2026-03-31,825107,1,Detroit Tigers @ Arizona Diamondbacks,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-det-ari-2026-03-31,
2026-03-31,823158,1,New York Yankees @ Seattle Mariners,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-nyy-sea-2026-03-31,
2026-03-31,823322,1,San Francisco Giants @ San Diego Padres,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-sf-sd-2026-03-31,
2026-04-01,823970,1,Cleveland Guardians @ Los Angeles Dodgers,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-cle-lad-2026-04-01,
2026-04-01,824698,1,Los Angeles Angels @ Chicago Cubs,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-laa-chc-2026-04-01,
2026-04-02,825105,1,Atlanta Braves @ Arizona Diamondbacks,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-atl-ari-2026-04-02,
2026-04-02,823242,1,New York Mets @ San Francisco Giants,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-nym-sf-2026-04-02,
2026-04-03,825103,1,Atlanta Braves @ Arizona Diamondbacks,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-atl-ari-2026-04-03,
2026-04-03,824458,1,Chicago Cubs @ Cleveland Guardians,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-chc-cle-2026-04-03,
2026-04-03,825026,1,Houston Astros @ Athletics,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-hou-oak-2026-04-03,
2026-04-03,822758,1,Los Angeles Dodgers @ Washington Nationals,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-lad-wsh-2026-04-03,
2026-04-03,823240,1,New York Mets @ San Francisco Giants,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-nym-sf-2026-04-03,
2026-04-03,824377,1,Philadelphia Phillies @ Colorado Rockies,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-phi-col-2026-04-03,
2026-04-03,824056,1,Seattle Mariners @ Los Angeles Angels,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-sea-laa-2026-04-03,
2026-04-04,823239,1,New York Mets @ San Francisco Giants,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-nym-sf-2026-04-04,
2026-04-04,824378,1,Philadelphia Phillies @ Colorado Rockies,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-phi-col-2026-04-04,
2026-04-04,824054,1,Seattle Mariners @ Los Angeles Angels,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-sea-laa-2026-04-04,
2026-04-04,824295,1,St. Louis Cardinals @ Detroit Tigers,,MLB game is not final yet.,,
2026-04-05,824379,1,Philadelphia Phillies @ Colorado Rockies,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-phi-col-2026-04-05,
2026-04-06,824052,1,Atlanta Braves @ Los Angeles Angels,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-atl-laa-2026-04-06,
2026-04-06,824376,1,Houston Astros @ Colorado Rockies,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-hou-col-2026-04-06,
2026-04-06,823237,1,Philadelphia Phillies @ San Francisco Giants,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-phi-sf-2026-04-06,
2026-04-06,822918,1,Seattle Mariners @ Texas Rangers,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-sea-tex-2026-04-06,
2026-04-07,824051,1,Atlanta Braves @ Los Angeles Angels,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-atl-laa-2026-04-07,
2026-04-07,824375,1,Houston Astros @ Colorado Rockies,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-hou-col-2026-04-07,
2026-04-07,823235,1,Philadelphia Phillies @ San Francisco Giants,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-phi-sf-2026-04-07,
2026-04-07,822916,1,Seattle Mariners @ Texas Rangers,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-sea-tex-2026-04-07,
2026-04-08,824374,1,Houston Astros @ Colorado Rockies,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-hou-col-2026-04-08,
2026-04-09,823319,1,Colorado Rockies @ San Diego Padres,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-col-sd-2026-04-09,
2026-04-10,823076,1,Boston Red Sox @ St. Louis Cardinals,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-bos-stl-2026-04-10,
2026-04-10,823318,1,Colorado Rockies @ San Diego Padres,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-col-sd-2026-04-10,
2026-04-10,823156,1,Houston Astros @ Seattle Mariners,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-hou-sea-2026-04-10,
2026-04-10,823968,1,Texas Rangers @ Los Angeles Dodgers,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-tex-lad-2026-04-10,
2026-04-11,823316,1,Colorado Rockies @ San Diego Padres,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-col-sd-2026-04-11,
2026-04-11,823155,1,Houston Astros @ Seattle Mariners,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-hou-sea-2026-04-11,
2026-04-11,824697,1,Pittsburgh Pirates @ Chicago Cubs,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-pit-chc-2026-04-11,
2026-04-11,823967,1,Texas Rangers @ Los Angeles Dodgers,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-tex-lad-2026-04-11,
2026-04-12,823154,1,Houston Astros @ Seattle Mariners,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-hou-sea-2026-04-12,
2026-04-12,824293,1,Miami Marlins @ Detroit Tigers,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-mia-det-2026-04-12,
2026-04-12,824696,1,Pittsburgh Pirates @ Chicago Cubs,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-pit-chc-2026-04-12,
2026-04-13,823964,1,New York Mets @ Los Angeles Dodgers,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-nym-lad-2026-04-13,
2026-04-13,825024,1,Texas Rangers @ Athletics,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-tex-oak-2026-04-13,
2026-04-14,824210,1,Colorado Rockies @ Houston Astros,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-col-hou-2026-04-14,
2026-04-14,823965,1,New York Mets @ Los Angeles Dodgers,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-nym-lad-2026-04-14,
2026-04-14,823315,1,Seattle Mariners @ San Diego Padres,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-sea-sd-2026-04-14,
2026-04-14,825022,1,Texas Rangers @ Athletics,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-tex-oak-2026-04-14,
2026-04-15,824855,1,Arizona Diamondbacks @ Baltimore Orioles,8.5,No historical price around 3am for one or both Over/Under tokens.,mlb-ari-bal-2026-04-15,mlb-ari-bal-2026-04-15-total-8pt5
2026-04-15,824855,1,Arizona Diamondbacks @ Baltimore Orioles,9.5,No historical price around 3am for one or both Over/Under tokens.,mlb-ari-bal-2026-04-15,mlb-ari-bal-2026-04-15-total-9pt5
2026-04-15,823722,1,Boston Red Sox @ Minnesota Twins,7.5,No historical price around 3am for one or both Over/Under tokens.,mlb-bos-min-2026-04-15,mlb-bos-min-2026-04-15-total-7pt5
2026-04-15,823722,1,Boston Red Sox @ Minnesota Twins,8.5,No historical price around 3am for one or both Over/Under tokens.,mlb-bos-min-2026-04-15,mlb-bos-min-2026-04-15-total-8pt5
2026-04-15,823477,1,Chicago Cubs @ Philadelphia Phillies,8.5,No historical price around 3am for one or both Over/Under tokens.,mlb-chc-phi-2026-04-15,mlb-chc-phi-2026-04-15-total-8pt5
2026-04-15,823477,1,Chicago Cubs @ Philadelphia Phillies,9.5,No historical price around 3am for one or both Over/Under tokens.,mlb-chc-phi-2026-04-15,mlb-chc-phi-2026-04-15-total-9pt5
2026-04-15,823071,1,Cleveland Guardians @ St. Louis Cardinals,8.5,No historical price around 3am for one or both Over/Under tokens.,mlb-cle-stl-2026-04-15,mlb-cle-stl-2026-04-15-total-8pt5
2026-04-15,824209,1,Colorado Rockies @ Houston Astros,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-col-hou-2026-04-15,
2026-04-15,824291,1,Kansas City Royals @ Detroit Tigers,8.5,No historical price around 3am for one or both Over/Under tokens.,mlb-kc-det-2026-04-15,mlb-kc-det-2026-04-15-total-8pt5
2026-04-15,823561,1,Los Angeles Angels @ New York Yankees,9.5,No historical price around 3am for one or both Over/Under tokens.,mlb-laa-nyy-2026-04-15,mlb-laa-nyy-2026-04-15-total-9pt5
2026-04-15,824936,1,Miami Marlins @ Atlanta Braves,8.5,No historical price around 3am for one or both Over/Under tokens.,mlb-mia-atl-2026-04-15,mlb-mia-atl-2026-04-15-total-8pt5
2026-04-15,824936,1,Miami Marlins @ Atlanta Braves,9.5,No historical price around 3am for one or both Over/Under tokens.,mlb-mia-atl-2026-04-15,mlb-mia-atl-2026-04-15-total-9pt5
2026-04-15,823963,1,New York Mets @ Los Angeles Dodgers,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-nym-lad-2026-04-15,
2026-04-15,824532,1,San Francisco Giants @ Cincinnati Reds,8.5,No historical price around 3am for one or both Over/Under tokens.,mlb-sf-cin-2026-04-15,mlb-sf-cin-2026-04-15-total-8pt5
2026-04-15,824532,1,San Francisco Giants @ Cincinnati Reds,9.5,No historical price around 3am for one or both Over/Under tokens.,mlb-sf-cin-2026-04-15,mlb-sf-cin-2026-04-15-total-9pt5
2026-04-15,823314,1,Seattle Mariners @ San Diego Padres,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-sea-sd-2026-04-15,
2026-04-15,824615,1,Tampa Bay Rays @ Chicago White Sox,7.5,No historical price around 3am for one or both Over/Under tokens.,mlb-tb-cws-2026-04-15,mlb-tb-cws-2026-04-15-total-7pt5
2026-04-15,824615,1,Tampa Bay Rays @ Chicago White Sox,8.5,No historical price around 3am for one or both Over/Under tokens.,mlb-tb-cws-2026-04-15,mlb-tb-cws-2026-04-15-total-8pt5
2026-04-15,825021,1,Texas Rangers @ Athletics,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-tex-oak-2026-04-15,
2026-04-15,823803,1,Toronto Blue Jays @ Milwaukee Brewers,7.5,No historical price around 3am for one or both Over/Under tokens.,mlb-tor-mil-2026-04-15,mlb-tor-mil-2026-04-15-total-7pt5
2026-04-15,823399,1,Washington Nationals @ Pittsburgh Pirates,8.5,No historical price around 3am for one or both Over/Under tokens.,mlb-wsh-pit-2026-04-15,mlb-wsh-pit-2026-04-15-total-8pt5
2026-04-15,823399,1,Washington Nationals @ Pittsburgh Pirates,9.5,No historical price around 3am for one or both Over/Under tokens.,mlb-wsh-pit-2026-04-15,mlb-wsh-pit-2026-04-15-total-9pt5
2026-04-16,824208,1,Colorado Rockies @ Houston Astros,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-col-hou-2026-04-16,
2026-04-16,823313,1,Seattle Mariners @ San Diego Padres,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-sea-sd-2026-04-16,
2026-04-17,824373,1,Los Angeles Dodgers @ Colorado Rockies,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-lad-col-2026-04-17,
2026-04-17,824048,1,San Diego Padres @ Los Angeles Angels,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-sd-laa-2026-04-17,
2026-04-17,824207,1,St. Louis Cardinals @ Houston Astros,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-stl-hou-2026-04-17,
2026-04-17,823152,1,Texas Rangers @ Seattle Mariners,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-tex-sea-2026-04-17,
2026-04-18,824372,1,Los Angeles Dodgers @ Colorado Rockies,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-lad-col-2026-04-18,
2026-04-18,824049,1,San Diego Padres @ Los Angeles Angels,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-sd-laa-2026-04-18,
2026-04-18,825098,1,Toronto Blue Jays @ Arizona Diamondbacks,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-tor-ari-2026-04-18,
2026-04-19,824371,1,Los Angeles Dodgers @ Colorado Rockies,,No eligible 7.5/8.5/9.5 totals market existed by 3am ET.,mlb-lad-col-2026-04-19,
